seller_id,seller_city,seller_state,total_revenue,order_count,num_categories,avg_delivery_days,avg_review_score,late_shipping_percentage,cancellation_percentage,repeat_customer_percentage,recency_days,has_review,total_revenue_outlier_type,total_revenue_outlier_flag,order_count_outlier_type,order_count_outlier_flag,avg_delivery_days_outlier_type,avg_delivery_days_outlier_flag,avg_review_score_outlier_type,avg_review_score_outlier_flag,late_shipping_percentage_outlier_type,late_shipping_percentage_outlier_flag,recency_days_outlier_type,recency_days_outlier_flag
db46ca7bce82b11f7e247539271fc390,Rio de Janeiro,RJ,1149.86,16,8,8,4.8,0.0,0.0,0.0,469,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
db6a4d4b5f1f5f98820ce6ce2619e2de,Sao Paulo,SP,148.15,1,1,3,5.0,0.0,0.0,0.0,282,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
db7ed69a53aa9fb1c01930ba54a88bbe,Jaguariuna,SP,120.78,1,1,4,5.0,0.0,0.0,0.0,117,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dbb9b48c841a0e39e21f98e1a6b2ec3e,Sao Paulo,SP,8768.26,108,55,9,4.25,4.24,0.0,0.0,113,1,normal,False,global,True,normal,False,normal,False,normal,False,normal,False
dbbcfe2c8d026742134ac3e28ccde274,Curitiba,PR,362.97,4,4,8,4.2,0.0,0.0,0.0,133,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dbc22125167c298ef99da25668e1011f,Borda da Mata,MG,40616.55,394,100,11,4.26,2.4,0.0,0.0,55,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
dbc51f5e45d654ecc16cb68e6817ecea,Franca,SP,218.13,1,1,18,4.0,0.0,0.0,0.0,600,1,normal,False,normal,False,normal,False,normal,False,normal,False,global,True
dbd66278cbfe1aa1000f90a217ca4695,Sao Paulo,SP,6472.77,85,18,8,4.49,6.06,0.0,0.0,55,1,normal,False,global,True,normal,False,normal,False,normal,False,normal,False
dbdd0ec73a4817971d962698f2fea022,Fortaleza,CE,8174.8,16,3,12,4.38,6.25,0.0,0.0,59,1,context,True,normal,False,normal,False,normal,False,normal,False,normal,False
dbec9a0a7efeff029d4d9dce7dc4cc95,Belo Horizonte,MG,1288.59,3,2,12,4.0,0.0,0.0,0.0,64,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dc317f341ab0e22f39acbd9dbf9b4a1f,Cachoeirinha,RS,22570.13,55,7,12,4.12,5.17,0.0,0.0,108,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
dc4a0fc896dc34b0d5bfec8438291c80,Ibitinga,SP,28148.06,225,163,13,3.81,6.61,0.0,0.0,58,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
dc50afafdfa325eadc890c7fa42a8f4e,Maringa,PR,481.48,4,3,6,4.75,0.0,0.0,0.0,67,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dc64d75cc406bb0697be983831430e60,Belo Horizonte,MG,905.55,4,2,10,4.75,0.0,0.0,0.0,62,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dc7192adf8ba09569261f4a8d576afe0,Itapeva,SP,1078.43,7,5,6,4.0,0.0,0.0,0.0,56,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dc8798cbf453b7e0f98745e396cc5616,Sao Paulo,SP,2258.95,35,34,13,3.13,6.98,0.0,0.0,345,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dcb7367a92f5ffb89f1e2152ed260285,Osvaldo Cruz,SP,98.34,1,1,10,5.0,0.0,0.0,0.0,213,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dcf3755cefcdc158ad0b7bdde51e871b,Cachoeira do Sul,RS,359.03,3,3,13,4.0,0.0,0.0,0.0,67,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dd264199fc8b687ad029de7de6d760e6,Cascavel,PR,108.6,1,1,18,5.0,0.0,0.0,0.0,636,1,normal,False,normal,False,normal,False,normal,False,normal,False,global,True
dd2bdf855a9172734fbc3744021ae9b9,Belo Horizonte,MG,12599.01,105,43,15,3.8,5.45,0.0,0.0,287,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
dd39ad39b5d3df33037e141c72497ba6,Sao Paulo,SP,164.85,2,2,8,5.0,0.0,0.0,0.0,494,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dd4d95ba2d15c071e6c695e2ef6ce169,Cachoeiro de Itapemirim,ES,1962.41,4,2,14,4.25,50.0,0.0,0.0,66,1,normal,False,normal,False,normal,False,normal,False,global,True,normal,False
dd533b429f380718b70ad9922c294bae,Barretos,SP,3336.18,39,13,16,3.81,11.63,0.0,0.0,292,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dd5450b022b2d00a2145a66331e1aef6,Joinville,SC,81.34,1,1,7,5.0,0.0,0.0,0.0,110,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dd55f1bb788714a40e7954c3be6df745,Sao Paulo,SP,7701.18,35,10,18,3.81,16.22,0.0,0.0,93,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dd58ee93286b0821565574c570e9e1dc,Curitiba,PR,3023.31,2,2,12,5.0,0.0,0.0,0.0,529,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dd7ddc04e1b6c2c614352b383efe2d36,Sao Paulo,SP,12025.18,121,40,14,3.81,14.79,0.0,0.0,84,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
dd88d13bea9e4c2bf47daf224f8141e5,Lajeado,RS,487.38,1,1,6,5.0,0.0,0.0,0.0,190,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dd8a29ce82d5c705ba932d81494600a5,Sao Paulo,SP,233.25,2,2,9,3.5,0.0,0.0,0.0,411,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dd9661d3cda1e6feb237f0c4d8b26f2e,Campos Novos,SC,190.98,1,1,18,5.0,0.0,0.0,0.0,370,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dda37071807e404c5bb2a1590c66326f,Sao Paulo,SP,219.27,1,1,16,5.0,0.0,0.0,0.0,176,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
ddd51ae8cda92f3995a51fc0f0f3eec7,Rio de Janeiro,RJ,1119.62,8,6,6,4.6,0.0,0.0,0.0,274,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
dde698c6d0bd24834c586e5111c2bba7,Petropolis,RJ,175.09,1,1,7,5.0,0.0,0.0,0.0,79,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
